sku,detalle,costo,venta,desde,hasta,empresa_id
40400001945,FID RIGATONI CAROZZI 400GR,581,848,1-9-2020,2-12-2020,3
40400001947,FID SPAGHETTI 5 CAROZZI 400GR,581,848,1-9-2020,2-12-2020,3
40400001961,FID TALLARINES CAROZZI 400GR,581,848,1-9-2020,2-12-2020,3
40400001968,FLAN CARAMELO C/LECHE MACROFOOD KG,1303,1902,1-9-2020,2-12-2020,3
40400001971,FLAN CHOCOLATE C/L MACROFOOD KG,1370,2000,1-9-2020,2-12-2020,3
40400001974,FLAN COCO C/LECHE MACROFOOD KG,1303,1902,1-9-2020,2-12-2020,3
40400001986,FLAN VAINILLA C/L MACROFOOD KG,1303,1902,1-9-2020,2-12-2020,3
40400001990,FONDO ALCACH. CONS ALTO LA CRUZ 907GR,3264,4765,1-9-2020,2-12-2020,3
40400002011,FRUTILLA JUGO WASIL 410GR,908,1326,1-9-2020,2-12-2020,3
40400002013,GARBANZO S/PIEL BONANZA 1KG,1864,2721,1-9-2020,2-12-2020,3
40400002036,HARINA S/POLVO MONT BLANC 1KG,859,1254,1-9-2020,2-12-2020,3
40400002046,HUESILLO C/CAROZO ALTO LA CRUZ KG,4920,7183,1-9-2020,2-12-2020,3
40400002047,JALEA DURAZNO MACROFOOD KG,2025,2957,1-9-2020,2-12-2020,3
40400002048,JALEA FRAMBUESA MACROFOOD KG,2025,2957,1-9-2020,2-12-2020,3
40400002052,JALEA FRUTILLA MACROFOOD KG,2025,2957,1-9-2020,2-12-2020,3
40400002054,JALEA GUINDA MACROFOOD KG,2025,2957,1-9-2020,2-12-2020,3
40400002056,JALEA MANZANA MACROFOOD KG,2025,2957,1-9-2020,2-12-2020,3
40400002058,JALEA NARANJA MACROFOOD KG,1718,2508,1-9-2020,2-12-2020,3
40400002063,JALEA PI#A MACROFOOD KG,2025,2957,1-9-2020,2-12-2020,3
40400002071,JUGO LIMON TRAVERSO 500ML,704,1028,1-9-2020,2-12-2020,3
40400002073,JUREL CONSERVA COLISEO 425GR,1358,1983,1-9-2020,2-12-2020,3
40400002075,KETCHUP HELLMANNS DOYP 1KG,1554,2269,1-9-2020,2-12-2020,3
40400002082,LECHE ASADA MACROFOOD KG,1474,2152,1-9-2020,2-12-2020,3
40400002084,LECHE CONDENSADA NESTLE 397G,859,1254,1-9-2020,2-12-2020,3
40400002086,LECHE EVAPORADA IDEAL 400CC,888,1296,1-9-2020,2-12-2020,3
40400002087,LECHE NEVADA MACROFOOD KG,1474,2152,1-9-2020,2-12-2020,3
40400002094,LECHE POLVO 26% MACROFOOD KG,3071,4484,1-9-2020,2-12-2020,3
40400002102,LECHE POLVO SVELTY 800GR,3758,5487,1-9-2020,2-12-2020,3
40400002105,LENTEJA 6MM BONANZA 1KG,1686,2462,1-9-2020,2-12-2020,3
40400002113,MAICENA ALTO LA CRUZ KG,1127,1645,1-9-2020,2-12-2020,3
40400002122,MANJAR COLUN 1KG,1568,2289,1-9-2020,2-12-2020,3
40400002128,MANTECA VEGETAL PANAD LESAFFRE 1KG,2083,3041,1-9-2020,2-12-2020,3
40400002150,MERENGUE INSTANT MACROFOOD KG,1592,2324,1-9-2020,2-12-2020,3
40400002161,MERM CIRUELA S/AZU REGIMEL 200G,690,1007,1-9-2020,2-12-2020,3
40400002171,MERM DAMASCO S/AZU REGIMEL 200GR,690,1007,1-9-2020,2-12-2020,3
40400002173,MERM DAMASCO WATTS 250GR,573,837,1-9-2020,2-12-2020,3
40400002182,MERM DURAZNO S/AZU REGIMEL 200GR,690,1007,1-9-2020,2-12-2020,3
40400002183,MERM DURAZNO WATTS 250GR,573,837,1-9-2020,2-12-2020,3
40400002186,MERM FRAMBUESA WATTS 250GR,749,1094,1-9-2020,2-12-2020,3
40400002191,MERM FRUTILLA S/AZU REGIMEL 200GR,699,1021,1-9-2020,2-12-2020,3
40400002193,MERM FRUTILLA WATTS 250GR,749,1094,1-9-2020,2-12-2020,3
40400002202,MERM MORA S/AZU REGIMEL 200GR,699,1021,1-9-2020,2-12-2020,3
40400002203,MERM MORA WATTS 250GR,749,1094,1-9-2020,2-12-2020,3
40400002206,MIEL ABEJA ALTO LA CRUZ KG,4484,6547,1-9-2020,2-12-2020,3
40400002219,MOSTAZA JB 1KG,1344,1962,1-9-2020,2-12-2020,3
40400002223,MOUSSE CHOCOLATE TKF KG,2281,3330,1-9-2020,2-12-2020,3
40400002224,MOUSSE COCO TKF KG,2090,3051,1-9-2020,2-12-2020,3
40400002225,MOUSSE FRAMBUESA TKF KG,2281,3330,1-9-2020,2-12-2020,3
40400002226,MOUSSE LUCUMA TKF KG,2281,3330,1-9-2020,2-12-2020,3
40400002227,MOUSSE MENTA TKF KG,2281,3330,1-9-2020,2-12-2020,3
40400002228,MOUSSE MOKA TKF KG,2281,3330,1-9-2020,2-12-2020,3
40400002230,MOUSSE VAINILLA TKF KG,2281,3330,1-9-2020,2-12-2020,3
40400002252,NUEZ PELADA ALTO LA CRUZ KG,10753,15699,1-9-2020,2-12-2020,3
40400002254,OREGANO HOJAS ALTO LA CRUZ KG,6031,8805,1-9-2020,2-12-2020,3
40400002261,PALMITO CONS BONANZA 400GR,901,1315,1-9-2020,2-12-2020,3
40400002264,PASA MORENA ALTO LA CRUZ 1KG,2341,3418,1-9-2020,2-12-2020,3
40400002267,PASA RUBIA ALTO LA CRUZ KG,4305,6285,1-9-2020,2-12-2020,3
40400002284,PICKLE DON JUAN 1KG,2163,3158,1-9-2020,2-12-2020,3
40400002295,PI#A JUGO RODAJA BONANZA 560GR,1079,1575,1-9-2020,2-12-2020,3
40400002297,PI#A JUGO RODAJAS ALTO LA CRUZ 3KG,5237,7646,1-9-2020,2-12-2020,3
40400002306,POROTO HALLADO BONANZA KG,2103,3070,1-9-2020,2-12-2020,3
40400002318,PURE PAPA ALCAFOOD KG,2408,3516,1-9-2020,2-12-2020,3
40400002327,QUESO RALLADO DOS ALAMOS 80GR,870,1270,1-9-2020,2-12-2020,3
40400002361,SABOR CHOCOLATE EN POLVO MILO 700GR,3491,5097,1-9-2020,2-12-2020,3
40400002364,SAL DE MESA LOBOS 1KG,776,1133,1-9-2020,2-12-2020,3
40400002366,SAL DIETETICA BIOSAL 125GR,799,1167,1-9-2020,2-12-2020,3
40400002375,SALSA CARAMELO MACROFOOD 1LT,1475,2154,1-9-2020,2-12-2020,3
40400002379,SALSA CHOCOLATE MACROFOOD 1LT,1475,2154,1-9-2020,2-12-2020,3
40400002389,SALSA DE SOYA TRAVERSO 500CC,1104,1612,1-9-2020,2-12-2020,3
40400002391,SALSA ESPA#OLA MACROFOOD KG,3229,4714,1-9-2020,2-12-2020,3
40400002395,SALSA FRAMBUESA MACROFOOD 1LT,1475,2154,1-9-2020,2-12-2020,3
40400002398,SALSA FRUTILLA BYT 1LT,1626,2374,1-9-2020,2-12-2020,3
40400002406,SALSA TOMATE SAN REMO 200CC,217,317,1-9-2020,2-12-2020,3
40400002417,SEMOLA C/LECHE TKF KG,1173,1713,1-9-2020,2-12-2020,3
40400002418,SEMOLA CAROZZI 1KG,1157,1689,1-9-2020,2-12-2020,3
40400002420,SOPA CARNE C/ARROZ MARCOFOOD KG,1304,1904,1-9-2020,2-12-2020,3
40400002421,SOPA CARNE C/CARACOLITO MACROFOOD KG,1304,1904,1-9-2020,2-12-2020,3
40400002422,SOPA CARNE C/FIDEOS MACROFOOD KG,1335,1949,1-9-2020,2-12-2020,3
40400002424,SOPA CARNE C/VERDURA MACROFOOD KG,1304,1904,1-9-2020,2-12-2020,3
40400002427,SOPA CARNE SEMOLA MACROFOOD KG,1304,1904,1-9-2020,2-12-2020,3
40400002452,SOPA POLLO C/ARROZ MACROFOOD KG,1304,1904,1-9-2020,2-12-2020,3
40400002454,SOPA POLLO C/FIDEOS MACROFOOD KG,1335,1949,1-9-2020,2-12-2020,3
40400002456,SOPA POLLO C/SEMOLA MACROFOOD KG,1304,1904,1-9-2020,2-12-2020,3
40400002458,SOPA POLLO VERDURA MACROFOO KG,1304,1904,1-9-2020,2-12-2020,3
40400002472,SURTIDO MARISCO ACEITE A/F R.CRUSOE 190G,1171,1710,1-9-2020,2-12-2020,3
40400002473,SURTIDO MARISCO AGUA A/F R.CRUSOE 190G,1171,1710,1-9-2020,2-12-2020,3
40400002480,TE CEYLAN AMARILLO LIPTON CJTA 100BL,2145,3132,1-9-2020,2-12-2020,3
40400002489,TE ETIQUETA NEGRA LIPTON CJTA 100BL,2486,3630,1-9-2020,2-12-2020,3
40400002490,TE HIERBAS SURTIDA LIPTON CJTA 100BL,4117,6011,1-9-2020,2-12-2020,3
40400002496,TRIGO MOTE ALTO LA CRUZ KG,1329,1940,1-9-2020,2-12-2020,3
40400002505,VINAGRE ROSADO TRAVERSO 500CC,682,996,1-9-2020,2-12-2020,3
40400002515,YERBA MATE TARAGUI 250GR,1450,2117,1-9-2020,2-12-2020,3
40400002645,LEVADURA SEC IN SU SAF OKEDO 500GR,1639,2393,1-9-2020,2-12-2020,3
40400003099,POLVOS HORNEAR DELIA 500GR,1059,1546,1-9-2020,2-12-2020,3
40400003277,CREMA LIQUIDA UHT COLUN 1LT,1952,2850,1-9-2020,2-12-2020,3
40400003394,HUEVO BLANCO PRIMERA CHAMPION UN,3000,4380,1-9-2020,2-12-2020,3
40400003423,LECHE CHOC COLUN 1LT,729,1064,1-9-2020,2-12-2020,3
40400003438,LECHE DESC CJ COLUN 1LT,597,872,1-9-2020,2-12-2020,3
40400003447,LECHE ENTERA CJ COLUN 1LT,597,872,1-9-2020,2-12-2020,3
40400003462,LECHE SEMI/DESC S/TAPA COLUN 1LT,597,872,1-9-2020,2-12-2020,3
40400003471,MANTEQUILLA LOS ALERCES 250GR,1083,1581,1-9-2020,2-12-2020,3
40400003474,MANTEQUILLA SOPROLE 250GR,1163,1698,1-9-2020,2-12-2020,3
40400003480,MARGARINA NEXT 250GR,416,607,1-9-2020,2-12-2020,3
40400003486,QUESILLO COLUN 160GR,497,726,1-9-2020,2-12-2020,3
40400003487,QUESILLO COLUN 320GR,923,1348,1-9-2020,2-12-2020,3
40400003504,QUESO CREMA TRIPA DOS ALAMOS 200GR,530,774,1-9-2020,2-12-2020,3
40400003508,QUESO GAUDA LAMINADO COLUN 500GR,2083,3041,1-9-2020,2-12-2020,3
40400003547,YOGHURT DAMASCO LOS ALERCES 125GR,98,143,1-9-2020,2-12-2020,3
40400003562,YOGHURT FRAMBUESA LOS ALERCES 125GR,98,143,1-9-2020,2-12-2020,3
40400003569,YOGHURT FRUTILLA LOS ALERCES 125GR,98,143,1-9-2020,2-12-2020,3
40400003584,YOGHURT MORA LOS ALERCES 125GR,98,143,1-9-2020,2-12-2020,3
40400003591,YOGHURT PI#A LOS ALERCES 125GR,98,143,1-9-2020,2-12-2020,3
40400003596,YOGHURT PLATANO LOS ALERCES 125GR,98,143,1-9-2020,2-12-2020,3
40400003618,YOGHUT GOLD TRADICION SOPROLE 165CC,340,496,1-9-2020,2-12-2020,3
40400003816,GALL AGUA LIGHT COSTA 210GR,787,1149,1-9-2020,2-12-2020,3
40400003818,GALL AGUA S/SAL FA MCKAY 180GR,842,1229,1-9-2020,2-12-2020,3
40400003820,GALL ALTEZA BOCADO NESTLE 140GR,608,888,1-9-2020,2-12-2020,3
40400003821,GALL ALTEZA HELADO NESTLE 140GR,608,888,1-9-2020,2-12-2020,3
40400003835,GALL COSTA OBSESION COSTA 85GR,736,1075,1-9-2020,2-12-2020,3
40400003836,GALL CRACKELET COSTA 85GR,381,556,1-9-2020,2-12-2020,3
40400003838,GALL CRIOLLITAS MCKAY 100GR,594,867,1-9-2020,2-12-2020,3
40400003850,GALL DONUTS BLANCO COSTA 100GR,746,1089,1-9-2020,2-12-2020,3
40400003851,GALL DONUTS COCOCRUNCH COSTA 95GR,743,1085,1-9-2020,2-12-2020,3
